incident_num,offence_code_group,occurred_on_date,UCR_part,latitude,longitude
I182001884,Larceny,"07/01/2018 17:40","Part One",4.232.995.513,"-7.105.369.679"
I182002462,Larceny,"07/01/2018 19:00","Part One",4.236.643.546,"-7.106.135.413"
I182001684,Larceny,"07/01/2018 19:28","Part One",4.229.057.504,"-7.107.165.726"
I182001683,Robbery,"07/01/2018 19:50","Part One",4.230.433.950,"-7.108.477.887"
I182001699,Robbery,"07/01/2018 21:01","Part One",4.237.624.409,"-7.103.272.932"
I182001700,Larceny,"07/01/2018 21:34","Part One",4.233.395.125,"-7.107.538.939"
I182001695,"Aggravated Assault","07/01/2018 21:40","Part One",4.229.070.005,"-7.106.991.285"
I182001696,Larceny,"07/01/2018 21:50","Part One",4.231.506.898,"-7.109.746.579"
I182001799,"Larceny From Motor Vehicle","07/01/2018 22:00","Part One",4.235.256.908,"-7.107.978.844"
I182003148,"Larceny From Motor Vehicle","08/01/2018 00:00","Part One",4.236.386.192,"-7.105.495.132"
I182001716,"Aggravated Assault","08/01/2018 00:54","Part One",4.235.138.487,"-7.113.832.276"
I182001841,Larceny,"08/01/2018 01:30","Part One",4.236.116.347,"-7.106.391.344"
I182001726,"Larceny From Motor Vehicle","08/01/2018 03:35","Part One",4.235.131.763,"-7.105.838.367"
I182002726,Robbery,"08/01/2018 03:55","Part One",4.237.549.798,"-7.103.495.855"
I182001730,Robbery,"08/01/2018 05:48","Part One",4.234.334.672,"-7.106.643.142"
I182002159,"Larceny From Motor Vehicle","08/01/2018 06:30","Part One",4.228.647.169,"-7.112.419.976"
I182001738,Robbery,"08/01/2018 06:37","Part One",4.237.442.697,"-7.103.527.876"
I182001771,Larceny,"08/01/2018 07:30","Part One",4.234.577.820,"-7.108.429.595"
I182001804,"Aggravated Assault","08/01/2018 08:00","Part One",4.234.339.388,"-7.109.849.282"
I182002880,"Larceny From Motor Vehicle","08/01/2018 08:00","Part One",4.234.573.301,"-7.106.485.053"
I182001751,Larceny,"08/01/2018 08:34","Part One",4.238.423.979,"-7.100.003.921"
I182002074,"Other Burglary","08/01/2018 09:00","Part One",4.224.249.788,"-7.112.326.854"
I182001781,Larceny,"08/01/2018 09:41","Part One",4.234.442.266,"-7.109.833.083"
I182003942,Larceny,"08/01/2018 10:00","Part One",4.234.673.050,"-7.116.186.432"
I182001790,Larceny,"08/01/2018 10:30","Part One",4.233.123.776,"-7.109.140.736"
I182001890,Larceny,"08/01/2018 11:00","Part One",4.235.059.717,"-7.107.881.031"
I182005718,"Larceny From Motor Vehicle","08/01/2018 11:00","Part One",4.230.150.136,"-7.105.980.509"
I162096582,Larceny,"08/01/2018 13:29","Part One",4.236.359.292,"-7.105.587.190"
I182003899,Larceny,"08/01/2018 13:45","Part One",4.234.730.980,"-7.107.915.167"
I182001854,"Residential Burglary","08/01/2018 13:53","Part One",4.231.975.730,"-7.105.428.941"
I182001855,Larceny,"08/01/2018 14:56","Part One",4.230.020.549,"-7.110.760.205"
I182001875,Larceny,"08/01/2018 15:25","Part One",4.227.531.312,"-7.111.587.798"
I182002829,Larceny,"08/01/2018 15:25","Part One",4.229.921.088,"-7.105.203.766"
I182002129,Larceny,"08/01/2018 15:30","Part One",4.235.170.571,"-7.111.989.956"
I182001889,Larceny,"08/01/2018 16:52","Part One",4.236.039.960,"-7.105.482.846"
I182022587,Larceny,"08/01/2018 16:55","Part One",4.235.147.387,"-7.115.448.753"
I182001945,"Larceny From Motor Vehicle","08/01/2018 17:00","Part One",4.231.324.982,"-7.110.181.891"
I182001904,"Aggravated Assault","08/01/2018 17:50","Part One",4.231.441.222,"-7.108.530.390"
I182002135,"Residential Burglary","08/01/2018 18:00","Part One",4.230.116.123,"-7.107.284.279"
I182001925,Larceny,"08/01/2018 18:29","Part One",4.234.999.733,"-7.108.103.440"
I182001911,"Larceny From Motor Vehicle","08/01/2018 18:44","Part One",4.230.926.218,"-7.110.242.845"
I182001928,"Aggravated Assault","08/01/2018 18:52","Part One",4.225.653.339,"-7.111.362.352"
I182001939,"Aggravated Assault","08/01/2018 19:10","Part One",4.231.679.542,"-7.107.964.562"
I182001932,Larceny,"08/01/2018 19:20","Part One",4.229.848.866,"-7.106.313.294"
I182001948,"Residential Burglary","08/01/2018 19:37","Part One",4.230.927.790,"-7.107.868.791"
I182001952,"Auto Theft","08/01/2018 20:10","Part One",4.230.896.999,"-7.108.284.839"
